"","genes","res"
"472","SPATA17","r25_r26"
"473","NRAV","r25_r26"
"474","LOC100101148","r25_r26"
"475","CFAP45","r25_r26"
"476","MMRN2","r25_r26"
"477","PACRG","r25_r26"
"478","PTK6","r25_r26"
"479","ARG1","r25_r26"
"480","ECT2L","r25_r26"
"481","DAW1","r25_r26"
"482","MERTK","r25_r26"
"483","PSTPIP2","r25_r26"
"484","LOC541473","r25_r26"
"485","HBG1","r25_r26"
"486","PRB1","r25_r26"
"487","BTG1","r25_r26"
"488","IQCD","r25_r26"
"489","AK7","r25_r26"
"490","GEM","r25_r26"
"491","NUP62CL","r25_r26"
"492","CHST15","r25_r26"
"493","NWD1","r25_r26"
"494","GAS8","r25_r26"
"495","CFAP57","r25_r26"
"496","MMP2","r25_r26"
"497","SH3TC2","r25_r26"
"498","TINAGL1","r25_r26"
"499","STS","r25_r26"
"500","SPRY4","r25_r26"
"501","LOC100131257","r25_r26"
"502","PZP","r25_r26"
"503","VCAN","r25_r26"
"504","EFHC1","r25_r26"
"505","OSBPL8","r25_r26"
"506","TUSC3","r25_r26"
"507","PTPRJ","r25_r26"
"508","C16orf46","r25_r26"
"509","C9orf117","r25_r26"
"510","RAG2","r25_r26"
"511","LOC727896","r25_r26"
"512","FABP6","r25_r26"
"513","CTH","r25_r26"
"514","MORN1","r25_r26"
"515","SPATA17-AS1","r25_r26"
"516","DNAAF2","r25_r26"
"517","LRRC74B","r25_r26"
"518","IFRD1","r25_r26"
"519","DCDC2B","r25_r26"
"520","CCDC33","r25_r26"
"521","DNAI2","r25_r26"
"522","DZIP1L","r25_r26"
"523","SLC23A1","r25_r26"
"524","TCTN2","r25_r26"
"525","AGPAT9","r25_r26"
"526","BBS5","r25_r26"
"527","SSH2","r25_r26"
"528","TTC16","r25_r26"
"529","VWA3A","r25_r26"
"530","LOC100505817","r25_r26"
"531","EFCAB6","r25_r26"
"532","LOC442028","r25_r26"
"533","PIK3CG","r25_r26"
"534","WDR66","r25_r26"
"535","LMNB1","r25_r26"
"536","DTX3","r25_r26"
"537","RHBDL2","r25_r26"
"538","LOC100132078","r25_r26"
"539","ANOS1","r25_r26"
