"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","results"
"HBA1",2488.33609147716,-0.605807119420992,0.123163513100085,-4.91872230803212,8.71109458792461e-07,0.00814705121335649,"res14"
"LOC101928626",14.0974858369224,-2.89230044526119,0.5997968202183,-4.82213367554786,1.42030707192376e-06,0.00885561459344463,"res14"
"HBA2",6118.58951096719,-0.5995850502356,0.12587657608926,-4.76327740127306,1.90473707709792e-06,0.00890702675677916,"res14"
"MIR4461",96.8015458850138,1.74141800013683,0.277082172909199,6.28484316350262,3.28184837671617e-10,6.18464326592162e-06,"res15"
"ADRA2B",90.9877391527127,0.970550068438233,0.202606770793747,4.79031408790503,1.66520447710696e-06,0.0156903891855403,"res15"
"CTAG2",2.49752452066983,9.49137599885924,0.707129710037994,13.4223974245818,4.47014471198486e-41,8.41236533348432e-37,"res16"
"MYL7",63.9229086619123,3.42719261929186,0.383176750083948,8.94415597642868,3.74802921829574e-19,3.52670809295537e-15,"res16"
"MTRNR2L2",1229.66727165523,-0.717151859548339,0.12396067107534,-5.78531766024785,7.23754293749195e-09,4.5401106846887e-05,"res16"
"TFF3",16753.931687407,0.45967920757817,0.088048921568903,5.22072501726721,1.78224010383514e-07,0.000838499412851839,"res16"
"CASQ2",30.4767919346454,0.748045231752733,0.155660526549145,4.80561930719515,1.54273206378285e-06,0.00527227809049116,"res16"
