"","x"
"911","JPH3"
"912","DSEL"
"913","NOTCH1"
"914","SLC38A6"
"915","VPS9D1"
"916","HLA-E"
"917","FILIP1"
"918","RFX2"
"919","DEFB4A"
"920","SOWAHC"
"921","SLC15A4"
"922","RNF19B"
"923","KLF6"
"924","BMP4"
"925","TIMP2"
"926","CASS4"
"927","LCA5L"
"928","LOC102724297"
"929","FRYL"
"930","LOC101928093"
"931","IRAK4"
"932","SEC16B"
"933","PART1"
"934","SHISA6"
"935","SIRPB1"
"936","IDNK"
"937","CD300C"
"938","CHST13"
"939","GK3P"
"940","SYNGAP1"
"941","ZNF276"
"942","LMX1A"
"943","C10orf67"
"944","ETV4"
"945","MMP9"
"946","MTMR3"
"947","MYCT1"
"948","LINC01001"
"949","MIR24-2"
"950","CHRNB2"
"951","SACS"
"952","SLC13A3"
"953","PP2D1"
"954","GATA2-AS1"
"955","CEP63"
"956","SLC34A2"
"957","ULBP1"
"958","TRIB1"
"959","CSF3R"
"960","RMND5A"
"961","IFIT1"
"962","ACYP1"
"963","RCSD1"
"964","DNASE1L2"
"965","TUB"
"966","TIMP4"
"967","C14orf142"
"968","ZNRD1-AS1"
"969","MAPT"
"970","RNF157"
"971","PKIG"
"972","BTG2"
"973","KCNJ18"
"974","CYP26B1"
"975","NR3C1"
"976","SERPINB1"
"977","CCL26"
"978","ARHGAP4"
"979","CPPED1"
"980","PFKFB3"
"981","CD200R1"
"982","EHD3"
"983","MIR4257"
"984","BTNL3"
"985","CCNA1"
"986","HPS3"
"987","LGALSL"
"988","REC8"
"989","TENM1"
"990","YIPF4"
"991","PPL"
"992","C11orf21"
"993","ACER3"
"994","EDNRB"
"995","ITPK1-AS1"
"996","ETF1"
"997","SPECC1"
"998","TDRD9"
"999","DPY19L2P3"
"1000","LCP2"
"1001","ST20"
"1002","MDFIC"
"1003","CYLD"
"1004","CCDC88C"
"1005","PIGB"
"1006","MYLIP"
"1007","BTLA"
"1008","WRB"
"1009","FGR"
"1010","EMP1"
"1011","RPGRIP1L"
"1012","GRIN3B"
"1013","AHCTF1"
"1014","STK4"
"1015","SLCO4A1-AS1"
"1016","C1QTNF6"
"1017","PRNCR1"
"1018","STXBP5L"
"1019","TCN1"
"1020","KLF15"
"1021","NMU"
"1022","TMPRSS11BNL"
"1023","ATRX"
"1024","SPINT1"
"1025","LOC103021295"
"1026","CCNYL1"
"1027","CEACAM5"
"1028","TMEM169"
"1029","ETFDH"
"1030","DOCK4"
"1031","LOC101928517"
"1032","MORC3"
"1033","MUC21"
"1034","TNFRSF10C"
"1035","C1orf228"
"1036","ZNRF2P1"
"1037","INHBA"
"1038","COLCA2"
"1039","ST3GAL4"
"1040","STX18-IT1"
"1041","FCRLB"
"1042","TMCC2"
"1043","SELPLG"
"1044","AZGP1P1"
"1045","LINC01506"
"1046","KLHL24"
"1047","MYO18A"
"1048","PRKD1"
"1049","SOX2"
"1050","ZNF250"
"1051","DSCAML1"
"1052","DPYS"
"1053","TMC1"
"1054","WASL"
"1055","LOC101927394"
"1056","ARL4C"
"1057","SH3D21"
"1058","NHLRC4"
"1059","RAB31"
"1060","S1PR4"
"1061","GRHL1"
"1062","NEFM"
"1063","FAAH"
"1064","DAPK1"
"1065","SNX16"
"1066","CD99L2"
"1067","CEACAM3"
"1068","SIGLEC1"
"1069","RNF213"
"1070","TMEM200C"
"1071","KLK14"
"1072","ACAP2"
"1073","AKIRIN2"
