"","genes","modules"
"471","SSX2IP","brown"
"472","LPAR3","brown"
"473","MCOLN2","brown"
"474","MCOLN3","brown"
"475","SYDE2","brown"
"476","C1orf52","brown"
"477","BCL10","brown"
"478","LOC646626","brown"
"479","DDAH1","grey60"
"480","CYR61","brown"
"481","ZNHIT6","brown"
"482","COL24A1","brown"
"483","MIR7856","pink"
"484","CLCA2","brown"
"485","CLCA1","skyblue1"
"486","CLCA4","blue"
"487","CLCA3P","brown"
"488","SH3GLB1","brown"
"489","SEP15","brown"
"490","HS2ST1","grey60"
"491","LINC01140","brown"
"492","LOC101927844","blue"
"493","LMO4","grey60"
"494","LINC01364","blue"
"495","PKN2","brown"
"496","GTF2B","brown"
"497","CCBL2","brown"
"498","RBMXL1","brown"
"499","GBP3","brown"
"500","GBP1","cyan"
"501","GBP2","cyan"
"502","GBP4","cyan"
"503","GBP5","blue"
"504","GBP6","brown"
"505","GBP1P1","cyan"
"506","LRRC8B","brown"
"507","LRRC8C","brown"
"508","LRRC8D","brown"
"509","GEMIN8P4","grey60"
"510","ZNF326","brown"
"511","BARHL2","blue"
"512","ZNF644","brown"
"513","CDC7","brown"
"514","TGFBR3","brown"
"515","EPHX4","brown"
"516","SETSIP","brown"
"517","BTBD8","brown"
"518","KIAA1107","brown"
"519","GLMN","brown"
"520","RPAP2","brown"
"521","EVI5","brown"
"522","RPL5","grey60"
"523","FAM69A","brown"
"524","SNORD21","grey60"
"525","SNORA66","brown"
"526","MTF2","brown"
"527","TMED5","brown"
"528","CCDC18","brown"
"529","LOC100131564","brown"
"530","FNBP1L","brown"
"531","LOC100129046","grey60"
"532","MIR760","brown"
"533","DNTTIP2","brown"
"534","GCLM","brown"
"535","ARHGAP29","brown"
"536","ABCD3","brown"
"537","F3","brown"
"538","LINC01057","brown"
"539","SLC44A3","brown"
"540","CNN3","brown"
"541","TMEM56","brown"
"542","TMEM56-RWDD3","brown"
"543","RWDD3","brown"
"544","FLJ31662","mediumpurple2"
"545","PTBP2","brown"
"546","DPYD","brown"
"547","DPYD-AS1","brown"
"548","DPYD-AS2","brown"
"549","MIR137HG","blue"
"550","MIR2682","blue2"
"551","SNX7","brown"
"552","LOC100129620","blue"
"553","FRRS1","brown"
"554","AGL","brown"
"555","SLC35A3","brown"
"556","HIAT1","brown"
"557","SASS6","brown"
"558","TRMT13","brown"
"559","LRRC39","grey60"
"560","DBT","brown"
"561","RTCA-AS1","brown"
"562","RTCA","brown"
"563","MIR553","grey60"
"564","VCAM1","steelblue"
"565","SLC30A7","brown"
"566","LOC101928370","cyan"
"567","RNU6-31P","blue2"
"568","DNAJA1P5","blue"
"569","COL11A1","pink"
"570","RNPC3","brown"
"571","AMY2B","grey60"
"572","ACTG1P4","brown"
"573","AMY2A","grey60"
"574","LOC100129138","plum"
"575","LOC101928476","blue"
"576","NTNG1","brown"
"577","VAV3","brown"
"578","VAV3-AS1","brown"
"579","SLC25A24","brown"
"580","NBPF4","brown"
"581","FAM102B","grey60"
"582","HENMT1","brown"
"583","PRPF38B","grey60"
"584","FNDC7","pink"
"585","STXBP3","brown"
"586","AKNAD1","blue"
"587","SPATA42","coral1"
"588","GPSM2","brown"
"589","CLCC1","brown"
"590","WDR47","brown"
"591","TAF13","grey60"
"592","TMEM167B","brown"
"593","MYBPHL","brown"
"594","SORT1","brown"
"595","GNAI3","blue"
"596","MIR197","blue"
"597","GNAT2","blue"
"598","GSTM3","brown"
"599","AHCYL1","brown"
"600","STRIP1","grey60"
"601","ALX3","grey60"
"602","UBL4B","blue"
"603","KCNC4-AS1","skyblue"
"604","RBM15","brown"
"605","SLC16A4","brown"
"606","CYMP","brown"
"607","LOC440602","brown"
"608","KCNA2","blue"
"609","KCNA3","pink"
"610","CD53","blue"
"611","LRIF1","brown"
"612","DRAM2","brown"
"613","CEPT1","brown"
"614","DENND2D","brown"
"615","CHI3L2","pink"
"616","CHIAP2","blue"
"617","PGCP1","antiquewhite4"
"618","OVGP1","grey60"
"619","ATP5F1","brown"
"620","C1orf162","blue"
"621","LINC01160","grey60"
"622","RAP1A","grey60"
"623","FAM212B-AS1","brown"
"624","LOC101928718","brown"
"625","DDX20","brown"
"626","KCND3","grey60"
"627","KCND3-IT1","blue2"
"628","KCND3-AS1","brown"
"629","CTTNBP2NL","brown"
