"","genes","modules"
"11652","FKBP9","grey60"
"11653","NT5C3A","brown"
"11654","RP9","brown"
"11655","BMPER","grey60"
"11656","NPSR1-AS1","brown"
"11657","DPY19L1","grey60"
"11658","TBX20","blue"
"11659","LOC401324","blue"
"11660","HERPUD2","brown"
"11661","LOC100506725","skyblue"
"11662","SEPT7","brown"
"11663","LOC101928618","blue"
"11664","AOAH","blue"
"11665","AOAH-IT1","blue"
"11666","MIR1200","blue"
"11667","ELMO1-AS1","blue"
"11668","GPR141","blue"
"11669","NME8","blue"
"11670","SFRP4","blue"
"11671","STARD3NL","brown"
"11672","TARP","steelblue"
"11673","TRG-AS1","steelblue"
"11674","AMPH","pink"
"11675","FAM183B","pink"
"11676","VPS41","brown"
"11677","YAE1D1","brown"
"11678","RALA","brown"
"11679","CDK13","grey60"
"11680","LINC01449","blue"
"11681","INHBA","blue"
"11682","INHBA-AS1","cyan"
"11683","GLI3","grey60"
"11684","LINC01448","skyblue"
"11685","C7orf25","brown"
"11686","PSMA2","brown"
"11687","MRPL32","brown"
"11688","HECW1","blue"
"11689","LOC100506895","firebrick4"
"11690","STK17A","brown"
"11691","UBE2D4","brown"
"11692","SPDYE1","grey60"
"11693","MIR6837","pink"
"11694","PGAM2","grey60"
"11695","MYL7","antiquewhite4"
"11696","GCK","cyan"
"11697","CAMK2B","pink"
"11698","H2AFV","grey60"
"11699","PURB","grey60"
"11700","MIR4657","brown"
"11701","SNORA9","brown"
"11702","SNORA5A","grey60"
"11703","SNORA5C","grey60"
"11704","RAMP3","cyan"
"11705","SEPT7P2","brown"
"11706","IGFBP1","brown"
"11707","LINC01447","blue"
"11708","C7orf65","blue"
"11709","PKD1L1","pink"
"11710","C7orf69","skyblue"
"11711","HUS1","brown"
"11712","SUN3","skyblue"
"11713","UPP1","pink"
"11714","ABCA13","grey60"
"11715","CDC14C","grey60"
"11716","VWC2","blue"
"11717","ZPBP","brown"
"11718","IKZF1","blue"
"11719","FIGNL1","brown"
"11720","GRB10","grey60"
"11721","COBL","grey60"
"11722","LINC01446","blue"
"11723","LINC01445","blue"
"11724","LOC100996654","brown"
"11725","EGFR","grey60"
"11726","EGFR-AS1","brown"
"11727","LANCL2","brown"
"11728","FKBP9P1","grey60"
"11729","SEPT14","blue"
"11730","GBAS","brown"
"11731","CCT6A","brown"
"11732","SNORA15","plum2"
"11733","LOC100240728","blue"
"11734","LOC101928401","blue"
"11735","LOC401357","blue"
"11736","LOC100130849","blue2"
"11737","ZNF479","pink"
"11738","ZNF716","blue"
"11739","LINC01005","blue"
"11740","ZNF727","cyan"
"11741","ZNF679","thistle2"
"11742","ZNF736","grey60"
"11743","YWHAEP1","brown"
"11744","ZNF680","brown"
"11745","LOC100128885","blue"
"11746","ZNF107","brown"
"11747","MIR6839","blue"
"11748","ZNF138","brown"
"11749","ZNF117","blue"
"11750","ERV3-1","blue"
"11751","CCT6P3","grey60"
"11752","ZNF92","brown"
"11753","LOC441242","brown"
"11754","INTS4P2","grey60"
"11755","CCT6P1","grey60"
"11756","SNORA22","brown"
"11757","VKORC1L1","grey60"
"11758","CRCP","grey60"
"11759","LINC00174","grey60"
"11760","GS1-124K5.11","brown"
"11761","KCTD7","brown"
"11762","LOC100996437","grey60"
"11763","RABGEF1","blue"
"11764","GTF2IRD1P1","brown"
"11765","SBDS","brown"
"11766","TYW1","brown"
"11767","MIR4650-1","steelblue"
"11768","MIR4650-2","steelblue"
"11769","PMS2P4","brown"
"11770","STAG3L4","brown"
"11771","LINC01372","grey60"
"11772","LOC100507468","mediumpurple2"
"11773","AUTS2","grey60"
"11774","CALN1","cyan"
"11775","TYW1B","brown"
"11776","SBDSP1","brown"
"11777","SPDYE7P","grey60"
"11778","STAG3L1","grey60"
"11779","STAG3L3","grey60"
"11780","PMS2P7","grey60"
"11781","PMS2P5","grey60"
"11782","PMS2P2","grey60"
"11783","SPDYE8P","grey60"
"11784","GTF2IP4","grey60"
"11785","GTF2IP1","grey60"
"11786","BAZ1B","grey60"
"11787","MIR4284","pink"
"11788","EIF4H","grey60"
"11789","MIR590","grey60"
"11790","GTF2I","grey60"
"11791","LOC101926943","brown"
"11792","GTF2IRD2","grey60"
"11793","STAG3L2","grey60"
"11794","GTF2IRD2B","grey60"
"11795","NSUN5P1","grey60"
"11796","SPDYE5","grey60"
"11797","PMS2P3","brown"
"11798","HIP1","brown"
"11799","CCL26","antiquewhite4"
"11800","CCL24","steelblue"
"11801","SNORA14A","pink"
"11802","YWHAG","grey60"
"11803","FDPSP2","brown"
"11804","UPK3B","grey60"
"11805","LOC100133091","grey60"
"11806","DTX2P1-UPK3BP1-PMS2P11","grey60"
"11807","PMS2P9","brown"
"11808","FGL2","blue"
"11809","GSAP","brown"
"11810","LOC101927243","brown"
"11811","PTPN12","grey60"
"11812","APTR","brown"
"11813","RSBN1L","brown"
"11814","TMEM60","brown"
"11815","PHTF2","brown"
"11816","GNAI1","brown"
"11817","CD36","brown"
"11818","SEMA3C","brown"
"11819","HGF","brown"
"11820","CACNA2D1","pink"
"11821","LOC101927356","blue"
"11822","PCLO","brown"
"11823","SEMA3E","brown"
"11824","SEMA3A","brown"
"11825","LOC101927378","blue"
"11826","GRM3","brown"
"11827","KIAA1324L","brown"
"11828","DMTF1","brown"
"11829","TMEM243","brown"
"11830","CROT","brown"
"11831","ABCB4","brown"
"11832","ABCB1","brown"
"11833","RUNDC3B","skyblue"
"11834","SLC25A40","brown"
"11835","DBF4","brown"
"11836","ADAM22","grey60"
"11837","SRI","brown"
"11838","STEAP4","brown"
"11839","ZNF804B","blue"
"11840","STEAP2-AS1","brown"
"11841","STEAP1","brown"
"11842","STEAP2","brown"
"11843","LOC101927446","skyblue1"
"11844","GTPBP10","brown"
"11845","CLDN12","brown"
"11846","CDK14","brown"
"11847","FZD1","grey60"
"11848","MTERF1","brown"
"11849","AKAP9","brown"
"11850","CYP51A1","brown"
"11851","CYP51A1-AS1","brown"
"11852","LRRD1","grey60"
"11853","KRIT1","brown"
"11854","ANKIB1","grey60"
"11855","GATAD1","grey60"
"11856","PEX1","brown"
"11857","RBM48","brown"
"11858","MGC16142","pink"
"11859","FAM133B","brown"
"11860","FAM133DP","brown"
"11861","CDK6","brown"
"11862","LOC101927497","pink"
"11863","SAMD9","blue"
"11864","SAMD9L","cyan"
"11865","HEPACAM2","brown"
"11866","VPS50","brown"
"11867","CALCR","brown"
"11868","MIR4652","brown"
"11869","TFPI2","brown"
"11870","GNGT1","pink"
"11871","GNG11","cyan"
"11872","BET1","brown"
"11873","CASD1","brown"
"11874","PPP1R9A","brown"
"11875","PON1","grey60"
"11876","PON2","brown"
"11877","PDK4","brown"
"11878","DYNC1I1","brown"
"11879","SLC25A13","brown"
"11880","MIR591","orangered3"
"11881","LOC100506136","brown"
"11882","SHFM1","brown"
"11883","DLX6-AS1","brown"
"11884","DLX6","pink"
"11885","DLX5","cyan"
"11886","SDHAF3","brown"
"11887","TAC1","skyblue"
"11888","ASNS","brown"
"11889","MIR5692A1","brown"
"11890","MIR5692A2","brown"
"11891","LMTK2","grey60"
"11892","BAIAP2L1","grey60"
"11893","TRRAP","grey60"
"11894","LOC101927550","grey60"
"11895","SMURF1","grey60"
"11896","KPNA7","brown"
"11897","MYH16","brown"
"11898","ZNF789","grey60"
"11899","ZNF394","brown"
"11900","ZKSCAN5","brown"
"11901","FAM200A","brown"
"11902","ZNF655","brown"
"11903","ZSCAN25","grey60"
"11904","CYP3A5","brown"
"11905","CYP3A7-CYP3A51P","brown"
"11906","CYP3A7","brown"
"11907","CYP3A4","brown"
"11908","CYP3A43","brown"
"11909","AZGP1P1","skyblue"
"11910","ZKSCAN1","brown"
"11911","ZSCAN21","grey60"
"11912","ZNF3","brown"
"11913","MIR93","grey60"
"11914","MIR106B","brown"
"11915","CNPY4","pink"
"11916","GPC2","grey60"
"11917","PVRIG","grey60"
"11918","SPDYE3","grey60"
"11919","STAG3L5P-PVRIG2P-PILRB","grey60"
"11920","STAG3L5P","brown"
"11921","PVRIG2P","grey60"
"11922","MIR6840","brown"
"11923","PILRB","grey60"
"11924","C7orf61","pink"
"11925","FBXO24","pink"
"11926","ACTL6B","steelblue"
"11927","ZAN","blue"
"11928","SRRT","grey60"
"11929","ACHE","cyan"
"11930","MUC17","blue"
"11931","TRIM56","brown"
"11932","MIR4653","grey60"
"11933","VGF","antiquewhite4"
"11934","NAT16","blue"
"11935","LINC01007","blue"
"11936","CUX1","grey60"
"11937","MIR4285","firebrick4"
"11938","SPDYE6","grey60"
"11939","LOC100289561","grey60"
"11940","SPDYE2B","grey60"
"11941","SPDYE2","grey60"
"11942","FAM185A","brown"
"11943","FBXL13","brown"
"11944","LRRC17","brown"
"11945","ARMC10","brown"
"11946","NAPEPLD","brown"
"11947","RPL19P12","pink"
"11948","PMPCB","brown"
"11949","DNAJC2","brown"
"11950","PSMC2","brown"
"11951","SLC26A5","brown"
"11952","LOC101927870","brown"
"11953","RELN","blue"
"11954","ORC5","brown"
"11955","LHFPL3-AS1","skyblue"
"11956","LHFPL3-AS2","brown"
"11957","LINC01004","brown"
"11958","KMT2E-AS1","brown"
"11959","KMT2E","brown"
"11960","SRPK2","brown"
"11961","PUS7","brown"
"11962","RINT1","brown"
"11963","SYPL1","brown"
"11964","NAMPT","blue"
"11965","PIK3CG","blue"
"11966","PRKAR2B","brown"
"11967","HBP1","brown"
"11968","COG5","brown"
"11969","GPR22","brown"
"11970","DUS4L","brown"
"11971","BCAP29","brown"
"11972","SLC26A4-AS1","brown"
"11973","SLC26A4","brown"
"11974","CBLL1","brown"
"11975","SLC26A3","blue"
"11976","DLD","brown"
"11977","NRCAM","brown"
"11978","PNPLA8","blue"
"11979","THAP5","brown"
"11980","DNAJB9","brown"
"11981","IMMP2L","brown"
"11982","LRRN3","brown"
"11983","DOCK4","brown"
"11984","DOCK4-AS1","brown"
"11985","ZNF277","brown"
"11986","IFRD1","blue"
"11987","LSMEM1","blue"
"11988","LOC100996249","skyblue"
"11989","TMEM168","brown"
"11990","C7orf60","brown"
"11991","HRAT17","antiquewhite4"
"11992","LINC00998","brown"
"11993","PPP1R3A","antiquewhite4"
"11994","FOXP2","brown"
"11995","MDFIC","brown"
"11996","TFEC","cyan"
"11997","TES","brown"
"11998","LOC102724434","cyan"
"11999","CAV2","brown"
"12000","CAV1","cyan"
"12001","MET","brown"
"12002","CAPZA2","brown"
"12003","ST7-AS1","grey60"
"12004","ST7","brown"
"12005","ST7-OT4","brown"
"12006","ST7-AS2","brown"
"12007","ST7-OT3","brown"
"12008","ASZ1","skyblue"
"12009","CFTR","brown"
"12010","CTTNBP2","brown"
"12011","LSM8","brown"
"12012","LVCAT5","blue"
"12013","KCND2","skyblue"
"12014","TSPAN12","brown"
"12015","ING3","brown"
"12016","CPED1","brown"
"12017","WNT16","coral1"
"12018","FAM3C","brown"
"12019","PTPRZ1","brown"
"12020","AASS","brown"
"12021","FEZF1-AS1","grey60"
"12022","CADPS2","brown"
"12023","SLC13A1","blue"
"12024","NDUFA5","brown"
"12025","ASB15","pink"
"12026","LOC102724555","skyblue"
"12027","LMOD2","antiquewhite4"
"12028","WASL","brown"
"12029","HYALP1","brown"
"12030","HYAL4","brown"
"12031","SPAM1","blue"
"12032","TMEM229A","pink"
"12033","C7orf77","skyblue"
"12034","POT1","brown"
"12035","POT1-AS1","brown"
"12036","LOC101928283","blue"
"12037","LOC101928254","blue"
"12038","LOC101928333","blue"
"12039","ZNF800","brown"
"12040","SND1-IT1","brown"
"12041","LRRC4","grey60"
"12042","MIR593","brown"
"12043","MGC27345","brown"
"12044","RBM28","grey60"
"12045","HILPDA","cyan"
"12046","METTL2B","grey60"
"12047","LINC01000","grey60"
"12048","FAM71F2","pink"
"12049","FAM71F1","pink"
"12050","CALU","brown"
"12051","OPN1SW","coral1"
"12052","CCDC136","grey60"
"12053","KCP","grey60"
"12054","TNPO3","brown"
"12055","TPI1P2","brown"
"12056","AHCYL2","brown"
"12057","STRIP2","brown"
"12058","NRF1","grey60"
"12059","MIR182","mediumpurple2"
"12060","MIR96","blue2"
"12061","UBE2H","brown"
"12062","KLHDC10","grey60"
"12063","TMEM209","brown"
"12064","SSMEM1","pink"
"12065","CPA2","blue"
"12066","CPA1","blue"
"12067","MEST","brown"
"12068","COPG2","grey60"
"12069","TSGA13","grey60"
"12070","MIR29A","blue"
"12071","MIR29B1","blue"
"12072","LINC-PINT","blue"
"12073","LOC100506860","blue"
"12074","MKLN1","brown"
"12075","MKLN1-AS","brown"
"12076","PODXL","grey60"
"12077","CHCHD3","brown"
"12078","EXOC4","brown"
"12079","MIR6133","coral1"
"12080","LOC101928861","brown"
"12081","SLC35B4","brown"
"12082","AKR1B10","brown"
"12083","BPGM","brown"
"12084","CALD1","brown"
"12085","AGBL3","brown"
"12086","WDR91","grey60"
"12087","STRA8","coral1"
"12088","CNOT4","brown"
"12089","NUP205","grey60"
"12090","C7orf73","brown"
"12091","SLC13A4","blue"
"12092","FAM180A","blue"
"12093","MTPN","grey60"
"12094","LUZP6","grey60"
"12095","CHRM2","antiquewhite4"
"12096","PTN","grey60"
"12097","CREB3L2","grey60"
"12098","LOC100130880","brown"
"12099","AKR1D1","blue"
"12100","TRIM24","brown"
"12101","TMEM213","brown"
"12102","KIAA1549","grey60"
"12103","ZC3HAV1","brown"
"12104","UBN2","grey60"
"12105","LUC7L2","grey60"
"12106","C7orf55-LUC7L2","brown"
"12107","LOC100129148","grey60"
"12108","HIPK2","grey60"
"12109","KDM7A","grey60"
"12110","SLC37A3","brown"
"12111","RAB19","grey60"
"12112","MKRN1","brown"
"12113","BRAF","brown"
"12114","TMEM178B","grey60"
"12115","AGK","brown"
"12116","KIAA1147","grey60"
"12117","SSBP1","brown"
"12118","TAS2R4","grey60"
"12119","TAS2R5","grey60"
"12120","PRSS37","brown"
"12121","OR9A4","blue"
"12122","CLEC5A","blue"
"12123","TAS2R38","grey60"
"12124","MGAM","brown"
"12125","MGAM2","blue"
"12126","MOXD2P","blue"
"12127","PRSS58","darkviolet"
"12128","TRY2P","blue"
"12129","PRSS1","blue"
"12130","PRSS3P2","blue"
"12131","TRPV5","blue"
"12132","C7orf34","grey60"
"12133","OR9A2","blue"
"12134","OR6V1","blue"
"12135","PIP","brown"
"12136","TAS2R39","brown"
"12137","TAS2R40","blue"
"12138","CASP2","grey60"
"12139","EPHA1-AS1","pink"
"12140","TAS2R60","blue"
"12141","TAS2R41","blue"
"12142","CTAGE15","grey60"
"12143","TCAF2","cyan"
"12144","CTAGE6","grey60"
"12145","TCAF1","grey60"
"12146","OR2F1","blue"
"12147","OR6B1","cyan"
"12148","OR2A5","blue"
"12149","OR2A25","firebrick4"
"12150","OR2A12","plum"
"12151","CTAGE4","grey60"
"12152","ARHGEF35","grey60"
"12153","OR2A1-AS1","grey60"
"12154","LOC101928605","grey60"
"12155","RNU6-57P","grey60"
"12156","OR2A42","grey60"
"12157","OR2A1","grey60"
"12158","OR2A9P","grey60"
"12159","OR2A20P","grey60"
"12160","OR2A7","grey60"
"12161","ARHGEF34P","grey60"
"12162","CTAGE8","grey60"
"12163","NOBOX","blue"
"12164","TPK1","brown"
"12165","CNTNAP2","brown"
"12166","C7orf33","blue"
"12167","CUL1","brown"
"12168","EZH2","brown"
"12169","GHET1","brown"
"12170","ZNF786","grey60"
"12171","ZNF425","brown"
"12172","ZNF398","brown"
"12173","ZNF212","grey60"
"12174","ZNF783","grey60"
"12175","LOC155060","grey60"
"12176","ZNF767P","grey60"
"12177","ZNF862","grey60"
"12178","ACTR3C","brown"
"12179","LINC00996","pink"
"12180","GIMAP8","cyan"
"12181","GIMAP7","steelblue"
"12182","GIMAP4","blue"
"12183","GIMAP2","brown"
"12184","NOS3","pink"
"12185","ATG9B","pink"
"12186","ASIC3","grey60"
"12187","ASB10","antiquewhite4"
"12188","IQCA1L","blue2"
"12189","NUB1","grey60"
"12190","RHEB","brown"
"12191","PRKAG2","brown"
"12192","GALNTL5","blue"
"12193","GALNT11","brown"
"12194","KMT2C","brown"
"12195","FABP5P3","cyan"
"12196","XRCC2","brown"
"12197","LINC01287","blue"
"12198","DPP6","blue"
"12199","PAXIP1-AS2","brown"
"12200","PAXIP1","grey60"
"12201","PAXIP1-AS1","grey60"
"12202","HTR5A-AS1","blue"
"12203","HTR5A","plum2"
"12204","BLACE","blue"
"12205","EN2","blue"
"12206","CNPY1","skyblue"
"12207","LOC100506302","brown"
"12208","RBM33","grey60"
"12209","LOC389602","pink"
"12210","LMBR1","brown"
"12211","NOM1","grey60"
"12212","UBE3C","grey60"
"12213","DNAJB6","brown"
"12214","LOC101927914","blue"
"12215","NCAPG2","brown"
"12216","ESYT2","grey60"
"12217","RPL23AP53","grey60"
"12218","ZNF596","brown"
"12219","FAM87A","grey60"
"12220","FBXO25","brown"
"12221","ERICH1","brown"
"12222","ERICH1-AS1","blue"
"12223","LOC286083","blue"
"12224","DLGAP2","brown"
"12225","DLGAP2-AS1","blue"
"12226","CLN8","grey60"
"12227","MIR3674","coral1"
"12228","MIR596","antiquewhite4"
"12229","ARHGEF10","grey60"
"12230","KBTBD11","plum2"
"12231","LOC101927815","pink"
"12232","MCPH1","brown"
"12233","ANGPT2","brown"
"12234","MCPH1-AS1","brown"
"12235","MIR8055","steelblue"
"12236","AGPAT5","brown"
"12237","MIR4659A","thistle2"
"12238","MIR4659B","thistle2"
"12239","GS1-24F4.2","skyblue"
"12240","DEFB1","antiquewhite4"
"12241","DEFA6","blue"
"12242","DEFA4","blue"
"12243","DEFA8P","blue"
"12244","DEFA9P","blue"
"12245","DEFA10P","plum2"
"12246","DEFA3","blue"
"12247","DEFB109P1B","skyblue1"
"12248","ZNF705G","pink"
"12249","DEFB4B","pink"
"12250","DEFB103A","pink"
"12251","DEFB103B","pink"
"12252","SPAG11B","blue"
"12253","DEFB104A","skyblue1"
"12254","DEFB104B","skyblue1"
"12255","DEFB105A","blue"
"12256","DEFB105B","blue"
"12257","DEFB107A","skyblue1"
"12258","DEFB107B","skyblue1"
"12259","SPAG11A","blue"
"12260","DEFB4A","pink"
"12261","ZNF705B","cyan"
"12262","USP17L8","thistle2"
"12263","FAM86B3P","blue"
"12264","MFHAS1","grey60"
"12265","ERI1","blue"
"12266","MIR4660","blue"
"12267","PPP1R3B","blue"
"12268","LOC157273","skyblue"
"12269","TNKS","grey60"
"12270","MIR597","brown"
"12271","LINC00599","blue"
"12272","LINCR-0001","grey60"
"12273","RP1L1","grey60"
"12274","C8orf74","grey60"
"12275","SOX7","grey60"
"12276","XKR6","pink"
"12277","MTMR9","brown"
"12278","SLC35G5","pink"
"12279","TDH","grey60"
"12280","FAM167A","brown"
"12281","GATA4","antiquewhite4"
"12282","C8orf49","blue"
"12283","ZNF705D","grey60"
"12284","LOC392196","pink"
"12285","USP17L2","blue"
"12286","LONRF1","brown"
"12287","MIR3926-1","steelblue"
"12288","MIR3926-2","steelblue"
"12289","LOC340357","blue"
"12290","DLC1","brown"
"12291","C8orf48","brown"
"12292","SGCZ","blue"
"12293","MSR1","steelblue"
"12294","FGF20","brown"
"12295","CNOT7","brown"
"12296","VPS37A","brown"
"12297","MTMR7","grey60"
"12298","PDGFRL","brown"
"12299","MTUS1","brown"
"12300","MIR548V","brown"
"12301","FGL1","blue"
"12302","ASAH1","brown"
"12303","LOC101929066","brown"
"12304","NAT1","brown"
"12305","NAT2","brown"
"12306","PSD3","brown"
"12307","SH2D4A","grey60"
"12308","CSGALNACT1","blue"
"12309","INTS10","brown"
"12310","LPL","antiquewhite4"
"12311","ATP6V1B2","blue"
"12312","GFRA2","plum2"
"12313","XPO7","grey60"
"12314","FGF17","pink"
"12315","SFTPC","blue"
"12316","MIR320A","antiquewhite4"
"12317","PIWIL2","brown"
"12318","SLC39A14","grey60"
"12319","PPP3CC","brown"
"12320","BIN3-IT1","pink"
"12321","LOC101929237","brown"
"12322","TNFRSF10B","grey60"
"12323","LOC254896","blue"
"12324","TNFRSF10C","blue"
"12325","TNFRSF10D","brown"
"12326","TNFRSF10A","brown"
"12327","ENTPD4","grey60"
"12328","NKX3-1","grey60"
"12329","NKX2-6","firebrick4"
"12330","STC1","brown"
"12331","ADAM28","brown"
"12332","LOC101929294","brown"
"12333","ADAMDEC1","brown"
"12334","ADAM7","blue"
"12335","LOC101929315","blue"
"12336","NEFM","blue"
"12337","NEFL","cyan"
"12338","MIR6841","coral1"
"12339","DOCK5","blue"
"12340","MIR6876","pink"
"12341","GNRH1","grey60"
"12342","KCTD9","brown"
"12343","CDCA2","brown"
"12344","EBF2","skyblue"
"12345","PPP2R2A","brown"
"12346","BNIP3L","brown"
"12347","DPYSL2","brown"
"12348","STMN4","blue"
"12349","MIR6843","cyan"
"12350","CCDC25","brown"
"12351","NUGGC","pink"
"12352","FBXO16","brown"
"12353","FZD3","brown"
"12354","HMBOX1","brown"
"12355","KIF13B","grey60"
"12356","DUSP4","grey60"
"12357","LINC00589","brown"
"12358","LOC101929450","blue"
"12359","LOC101929470","blue"
"12360","FAM183CP","blue"
"12361","MIR548O2","orangered3"
"12362","SARAF","brown"
"12363","LEPROTL1","brown"
"12364","MBOAT4","brown"
"12365","DCTN6","brown"
"12366","RBPMS","grey60"
"12367","GTF2E2","brown"
"12368","SMIM18","brown"
"12369","GSR","grey60"
"12370","UBXN8","brown"
"12371","PPP2CB","grey60"
"12372","TEX15","blue"
"12373","WRN","grey60"
"12374","NRG1","brown"
"12375","NRG1-IT1","mediumpurple2"
"12376","NRG1-IT3","mediumpurple2"
"12377","FUT10","brown"
"12378","MAK16","brown"
"12379","DUSP26","antiquewhite4"
"12380","UNC5D","brown"
"12381","LOC101929550","skyblue"
"12382","LOC102723701","grey60"
"12383","ERLIN2","grey60"
"12384","PROSC","brown"
"12385","ADGRA2","pink"
"12386","RAB11FIP1","grey60"
"12387","GOT1L1","steelblue"
"12388","ADRB3","blue"
"12389","ASH2L","grey60"
"12390","BAG4","brown"
"12391","DDHD2","brown"
"12392","PPAPDC1B","brown"
"12393","WHSC1L1","brown"
"12394","LETM2","brown"
"12395","C8orf86","blue"
"12396","TACC1","brown"
"12397","PLEKHA2","grey60"
"12398","HTRA4","pink"
"12399","ADAM9","brown"
"12400","ADAM32","grey60"
"12401","ADAM3A","blue"
"12402","ADAM18","blue"
"12403","ADAM2","blue"
"12404","IDO1","cyan"
"12405","IDO2","steelblue"
"12406","C8orf4","brown"
"12407","ZMAT4","skyblue1"
"12408","SFRP1","pink"
"12409","GOLGA7","brown"
"12410","GINS4","grey60"
"12411","AGPAT6","grey60"
"12412","MIR486-1","grey60"
"12413","KAT6A","grey60"
"12414","LOC101929897","brown"
"12415","IKBKB","grey60"
"12416","POLB","brown"
"12417","DKK4","blue"
"12418","VDAC3","brown"
"12419","SLC20A2","grey60"
"12420","CHRNB3","firebrick4"
"12421","CHRNA6","blue"
"12422","THAP1","brown"
"12423","RNF170","brown"
"12424","MIR4469","brown"
"12425","HOOK3","brown"
"12426","FNTA","brown"
"12427","POMK","grey60"
"12428","HGSNAT","grey60"
"12429","POTEA","steelblue"
"12430","LINC00293","blue"
"12431","LOC100287846","grey60"
"12432","SPIDR","brown"
"12433","PRKDC","blue"
"12434","MCM4","brown"
"12435","UBE2V2","brown"
"12436","SNAI2","brown"
"12437","C8orf22","pink"
"12438","SNTG1","steelblue"
"12439","PXDNL","antiquewhite4"
"12440","PCMTD1","brown"
"12441","ST18","skyblue1"
"12442","FAM150A","brown"
"12443","RB1CC1","brown"
"12444","NPBWR1","cyan"
"12445","OPRK1","blue"
"12446","ATP6V1H","brown"
"12447","RGS20","pink"
"12448","TCEA1","brown"
"12449","LYPLA1","brown"
"12450","SOX17","cyan"
"12451","XKR4","plum2"
"12452","SBF1P1","blue"
"12453","TGS1","brown"
"12454","LYN","blue"
"12455","SNORD54","grey60"
"12456","PLAG1","brown"
"12457","CHCHD7","brown"
"12458","SDR16C5","brown"
"12459","SDR16C6P","plum2"
"12460","PENK","brown"
"12461","LOC101929415","brown"
"12462","LINC00968","blue"
"12463","IMPAD1","grey60"
"12464","LINC01606","steelblue"
"12465","LINC00588","blue"
"12466","LOC101929488","blue"
"12467","FAM110B","blue"
"12468","UBXN2B","blue"
"12469","CYP7A1","blue"
"12470","SDCBP","blue"
"12471","NSMAF","blue"
"12472","TOX","steelblue"
"12473","CA8","brown"
"12474","LINC01301","pink"
"12475","RAB2A","brown"
"12476","CHD7","brown"
"12477","LOC100130298","cyan"
"12478","CLVS1","brown"
"12479","ASPH","brown"
"12480","NKAIN3","brown"
"12481","UG0898H09","grey60"
"12482","GGH","brown"
"12483","TTPA","brown"
"12484","YTHDF3","brown"
"12485","LOC102724612","blue"
"12486","LINC01289","blue"
"12487","MIR124-2HG","blue"
"12488","LOC401463","steelblue"
"12489","CYP7B1","brown"
"12490","LINC01299","blue"
"12491","ARMC1","brown"
"12492","MTFR1","brown"
"12493","PDE7A","brown"
"12494","LINC00967","grey60"
"12495","RRS1-AS1","brown"
"12496","RRS1","grey60"
"12497","ADHFE1","brown"
"12498","MYBL1","brown"
"12499","VCPIP1","brown"
"12500","C8orf44","brown"
"12501","C8orf44-SGK3","brown"
"12502","SGK3","brown"
"12503","SNORD87","grey60"
"12504","COPS5","brown"
"12505","ARFGEF1","brown"
"12506","PREX2","blue"
"12507","SULF1","brown"
"12508","PRDM14","blue"
"12509","NCOA2","grey60"
"12510","TRAM1","brown"
"12511","LACTB2-AS1","brown"
"12512","LACTB2","brown"
"12513","EYA1","brown"
"12514","TRPA1","brown"
"12515","LOC392232","blue2"
"12516","TERF1","brown"
"12517","SBSPON","grey60"
"12518","RDH10","brown"
"12519","RDH10-AS1","grey60"
"12520","STAU2","brown"
"12521","UBE2W","brown"
"12522","TCEB1","brown"
"12523","LY96","blue"
"12524","JPH1","grey60"
"12525","GDAP1","brown"
"12526","MIR2052HG","plum2"
"12527","PI15","plum2"
"12528","CASC9","brown"
"12529","HNF4G","brown"
"12530","LINC01111","blue"
"12531","ZFHX4-AS1","pink"
"12532","ZFHX4","brown"
"12533","PEX2","brown"
"12534","PKIA","brown"
"12535","PKIA-AS1","blue"
"12536","IL7","brown"
"12537","HEY1","brown"
"12538","TPD52","brown"
"12539","ZBTB10","grey60"
"12540","ZNF704","grey60"
"12541","PAG1","blue"
"12542","FABP5","cyan"
"12543","PMP2","plum"
"12544","FABP9","skyblue"
"12545","FABP4","cyan"
"12546","FABP12","cyan"
"12547","IMPA1","grey60"
"12548","SLC10A5","grey60"
"12549","ZFAND1","brown"
"12550","CHMP4C","brown"
"12551","SNX16","brown"
"12552","LRRCC1","brown"
"12553","E2F5","brown"
"12554","C8orf59","brown"
"12555","CA13","grey60"
"12556","CA1","brown"
"12557","CA3","grey60"
"12558","CA3-AS1","brown"
"12559","CA2","blue"
"12560","REXO1L2P","blue"
"12561","ATP6V0D2","brown"
"12562","WWP1","brown"
"12563","RMDN1","brown"
"12564","CPNE3","brown"
"12565","CNGB3","brown"
"12566","DCAF4L2","blue"
"12567","LOC101929709","brown"
"12568","RIPK2","brown"
"12569","OSGIN2","brown"
"12570","NBN","brown"
"12571","DECR1","brown"
"12572","CALB1","blue"
"12573","LINC00534","blue"
"12574","LINC01030","cyan"
"12575","TMEM64","brown"
"12576","TMEM55A","blue"
"12577","OTUD6B-AS1","brown"
"12578","OTUD6B","brown"
"12579","LRRC69","brown"
"12580","RUNX1T1","blue"
"12581","LOC102724710","blue"
"12582","FLJ46284","mediumpurple2"
"12583","TRIQK","brown"
"12584","C8orf87","mediumpurple2"
"12585","RBM12B","brown"
"12586","RBM12B-AS1","brown"
"12587","PDP1","brown"
"12588","CDH17","steelblue"
"12589","GEM","blue"
"12590","RAD54B","brown"
"12591","FSBP","grey60"
"12592","KIAA1429","grey60"
